driver_id,onboarding_date,home_city_id,active_status,vehicle_type
1,2024-03-08,10,True,Bike
2,2024-01-06,5,True,Bike
3,2024-02-16,7,True,Car
4,2024-02-24,4,True,Car
5,2024-02-09,1,True,Car
6,2024-02-21,5,True,Bike
7,2024-01-16,7,True,Bike
8,2024-01-13,10,True,Car
9,2024-01-30,10,True,Bike
10,2024-01-19,6,True,Car
11,2024-01-17,5,True,Car
12,2024-03-03,4,True,Car
13,2024-01-19,2,True,Bike
14,2024-02-27,4,True,Bike
15,2024-02-24,10,True,Car
16,2024-03-30,10,True,Car
17,2024-03-30,3,True,Car
18,2024-03-02,10,True,Car
19,2024-01-23,1,True,Bike
20,2024-01-09,8,True,Bike
21,2024-01-12,5,True,Car
22,2024-01-01,4,True,Car
23,2024-02-27,8,True,Bike
24,2024-01-01,7,True,Bike
25,2024-02-03,2,True,Car
26,2024-02-17,1,True,Car
27,2024-03-29,4,True,Car
28,2024-01-01,8,True,Bike
29,2024-01-16,2,True,Bike
30,2024-03-01,3,True,Bike
31,2024-03-04,1,True,Car
32,2024-03-03,1,True,Car
33,2024-03-09,3,True,Bike
34,2024-01-22,5,True,Bike
35,2024-03-07,3,True,Car
36,2024-03-16,1,True,Bike
37,2024-01-26,1,True,Bike
38,2024-01-16,8,True,Car
39,2024-02-20,10,True,Bike
40,2024-03-26,2,True,Car
41,2024-02-26,3,True,Car
42,2024-01-29,2,True,Car
43,2024-03-18,3,True,Car
44,2024-03-09,7,True,Car
45,2024-02-16,1,True,Car
46,2024-03-02,10,True,Car
47,2024-03-09,8,True,Bike
48,2024-03-16,10,True,Car
49,2024-01-16,10,True,Car
50,2024-03-30,10,True,Bike
