user_id,signup_date,cohort_month,country,acquisition_channel
1,2024-02-07,2024-02-01,Country_A,Paid
2,2024-01-02,2024-01-01,Country_A,Referral
3,2024-03-04,2024-03-01,Country_A,Referral
4,2024-02-29,2024-02-01,Country_A,Referral
5,2024-01-21,2024-01-01,Country_A,Referral
6,2024-02-02,2024-02-01,Country_A,Organic
7,2024-03-16,2024-03-01,Country_A,Referral
8,2024-02-27,2024-02-01,Country_A,Paid
9,2024-01-22,2024-01-01,Country_A,Organic
10,2024-03-29,2024-03-01,Country_A,Paid
11,2024-02-18,2024-02-01,Country_A,Paid
12,2024-03-31,2024-03-01,Country_A,Paid
13,2024-02-28,2024-02-01,Country_A,Referral
14,2024-02-11,2024-02-01,Country_A,Referral
15,2024-02-29,2024-02-01,Country_A,Organic
16,2024-03-20,2024-03-01,Country_A,Organic
17,2024-01-15,2024-01-01,Country_A,Referral
18,2024-03-02,2024-03-01,Country_A,Paid
19,2024-03-02,2024-03-01,Country_A,Organic
20,2024-02-16,2024-02-01,Country_A,Referral
21,2024-03-02,2024-03-01,Country_A,Referral
22,2024-02-20,2024-02-01,Country_A,Referral
23,2024-02-24,2024-02-01,Country_A,Paid
24,2024-03-04,2024-03-01,Country_A,Referral
25,2024-01-03,2024-01-01,Country_A,Referral
26,2024-02-20,2024-02-01,Country_A,Referral
27,2024-01-07,2024-01-01,Country_A,Referral
28,2024-01-21,2024-01-01,Country_A,Organic
29,2024-03-13,2024-03-01,Country_A,Organic
30,2024-02-08,2024-02-01,Country_A,Referral
31,2024-01-18,2024-01-01,Country_A,Paid
32,2024-01-04,2024-01-01,Country_A,Organic
33,2024-03-29,2024-03-01,Country_A,Referral
34,2024-02-29,2024-02-01,Country_A,Organic
35,2024-01-14,2024-01-01,Country_A,Organic
36,2024-01-09,2024-01-01,Country_A,Paid
37,2024-03-30,2024-03-01,Country_A,Referral
38,2024-02-22,2024-02-01,Country_A,Referral
39,2024-01-02,2024-01-01,Country_A,Paid
40,2024-03-24,2024-03-01,Country_A,Paid
41,2024-02-29,2024-02-01,Country_A,Referral
42,2024-03-11,2024-03-01,Country_A,Referral
43,2024-02-13,2024-02-01,Country_A,Paid
44,2024-01-08,2024-01-01,Country_A,Organic
45,2024-02-16,2024-02-01,Country_A,Organic
46,2024-02-04,2024-02-01,Country_A,Paid
47,2024-03-18,2024-03-01,Country_A,Organic
48,2024-03-21,2024-03-01,Country_A,Paid
49,2024-02-05,2024-02-01,Country_A,Organic
50,2024-02-19,2024-02-01,Country_A,Organic
51,2024-01-04,2024-01-01,Country_A,Referral
52,2024-01-02,2024-01-01,Country_A,Referral
53,2024-01-06,2024-01-01,Country_A,Organic
54,2024-02-23,2024-02-01,Country_A,Organic
55,2024-01-04,2024-01-01,Country_A,Referral
56,2024-02-23,2024-02-01,Country_A,Referral
57,2024-03-03,2024-03-01,Country_A,Referral
58,2024-01-18,2024-01-01,Country_A,Paid
59,2024-03-30,2024-03-01,Country_A,Organic
60,2024-02-13,2024-02-01,Country_A,Referral
61,2024-02-03,2024-02-01,Country_A,Organic
62,2024-03-14,2024-03-01,Country_A,Paid
63,2024-03-02,2024-03-01,Country_A,Paid
64,2024-01-14,2024-01-01,Country_A,Referral
65,2024-02-17,2024-02-01,Country_A,Paid
66,2024-01-15,2024-01-01,Country_A,Organic
67,2024-03-12,2024-03-01,Country_A,Referral
68,2024-03-18,2024-03-01,Country_A,Organic
69,2024-03-27,2024-03-01,Country_A,Organic
70,2024-03-02,2024-03-01,Country_A,Paid
71,2024-02-09,2024-02-01,Country_A,Paid
72,2024-03-25,2024-03-01,Country_A,Paid
73,2024-03-20,2024-03-01,Country_A,Paid
74,2024-03-22,2024-03-01,Country_A,Paid
75,2024-02-22,2024-02-01,Country_A,Referral
76,2024-01-24,2024-01-01,Country_A,Organic
77,2024-01-26,2024-01-01,Country_A,Organic
78,2024-03-29,2024-03-01,Country_A,Organic
79,2024-02-29,2024-02-01,Country_A,Organic
80,2024-02-10,2024-02-01,Country_A,Paid
81,2024-01-29,2024-01-01,Country_A,Organic
82,2024-01-15,2024-01-01,Country_A,Referral
83,2024-02-14,2024-02-01,Country_A,Referral
84,2024-03-05,2024-03-01,Country_A,Organic
85,2024-03-29,2024-03-01,Country_A,Organic
86,2024-03-11,2024-03-01,Country_A,Referral
87,2024-01-09,2024-01-01,Country_A,Referral
88,2024-03-28,2024-03-01,Country_A,Paid
89,2024-01-01,2024-01-01,Country_A,Referral
90,2024-01-08,2024-01-01,Country_A,Paid
91,2024-03-28,2024-03-01,Country_A,Paid
92,2024-03-03,2024-03-01,Country_A,Paid
93,2024-01-11,2024-01-01,Country_A,Paid
94,2024-03-21,2024-03-01,Country_A,Paid
95,2024-01-08,2024-01-01,Country_A,Organic
96,2024-02-04,2024-02-01,Country_A,Referral
97,2024-02-04,2024-02-01,Country_A,Paid
98,2024-02-02,2024-02-01,Country_A,Referral
99,2024-01-05,2024-01-01,Country_A,Referral
100,2024-02-10,2024-02-01,Country_A,Paid
101,2024-01-28,2024-01-01,Country_A,Organic
102,2024-01-07,2024-01-01,Country_A,Paid
103,2024-03-13,2024-03-01,Country_A,Organic
104,2024-03-12,2024-03-01,Country_A,Referral
105,2024-01-12,2024-01-01,Country_A,Organic
106,2024-02-03,2024-02-01,Country_A,Organic
107,2024-02-02,2024-02-01,Country_A,Organic
108,2024-02-17,2024-02-01,Country_A,Referral
109,2024-01-23,2024-01-01,Country_A,Referral
110,2024-03-02,2024-03-01,Country_A,Organic
111,2024-03-28,2024-03-01,Country_A,Organic
112,2024-02-06,2024-02-01,Country_A,Paid
113,2024-02-13,2024-02-01,Country_A,Organic
114,2024-03-26,2024-03-01,Country_A,Paid
115,2024-03-31,2024-03-01,Country_A,Organic
116,2024-02-04,2024-02-01,Country_A,Paid
117,2024-03-05,2024-03-01,Country_A,Referral
118,2024-02-16,2024-02-01,Country_A,Organic
119,2024-03-18,2024-03-01,Country_A,Organic
120,2024-01-03,2024-01-01,Country_A,Organic
121,2024-01-01,2024-01-01,Country_A,Organic
122,2024-01-05,2024-01-01,Country_A,Paid
123,2024-03-30,2024-03-01,Country_A,Organic
124,2024-01-14,2024-01-01,Country_A,Referral
125,2024-01-27,2024-01-01,Country_A,Referral
126,2024-01-09,2024-01-01,Country_A,Organic
127,2024-03-19,2024-03-01,Country_A,Referral
128,2024-01-15,2024-01-01,Country_A,Organic
129,2024-03-30,2024-03-01,Country_A,Organic
130,2024-02-11,2024-02-01,Country_A,Referral
131,2024-03-17,2024-03-01,Country_A,Organic
132,2024-02-20,2024-02-01,Country_A,Referral
133,2024-03-03,2024-03-01,Country_A,Paid
134,2024-02-21,2024-02-01,Country_A,Organic
135,2024-01-04,2024-01-01,Country_A,Paid
136,2024-01-23,2024-01-01,Country_A,Referral
