driver_daily_id,driver_id,date_id,trips_completed,hours_active,earnings,incentives_earned
1,1,20240101,1,0.38,13.19,2.51
2,1,20240102,1,0.55,20.26,0.0
3,1,20240106,0,0.0,2.24,2.4
4,1,20240109,0,0.0,23.92,1.93
5,1,20240110,2,1.11,75.05,1.83
6,1,20240115,1,0.46,63.89,2.31
7,1,20240120,3,1.23,59.7,2.55
8,1,20240121,1,0.31,36.94,0.0
9,1,20240131,1,0.31,28.05,0.0
10,1,20240204,1,0.38,148.48,3.29
11,1,20240207,0,0.0,44.96,0.0
12,1,20240216,2,1.0,16.4,0.0
13,1,20240220,1,0.47,35.44,0.0
14,1,20240223,0,0.0,51.48,0.0
15,1,20240224,1,0.59,11.45,4.68
16,1,20240227,1,0.35,14.08,1.89
17,1,20240228,1,0.4,0.79,0.0
18,1,20240301,1,0.54,10.04,0.0
19,1,20240302,1,0.45,9.8,0.0
20,1,20240308,1,0.55,42.86,0.0
21,1,20240309,1,0.42,84.36,0.0
22,1,20240311,1,0.42,19.49,3.71
23,1,20240313,3,1.49,38.69,4.14
24,1,20240318,0,0.0,1.89,3.62
25,1,20240320,1,0.48,39.9,2.71
26,1,20240322,2,0.77,103.05,0.0
27,1,20240328,1,0.53,66.44,0.0
28,1,20240331,1,0.56,14.73,0.0
29,2,20240104,1,0.55,84.38,0.0
30,2,20240105,1,0.49,3.79,2.08
31,2,20240106,1,0.51,6.84,3.12
32,2,20240107,2,0.95,56.64,8.0
33,2,20240109,1,0.5,72.11,0.0
34,2,20240110,1,0.35,39.61,2.24
35,2,20240113,0,0.0,59.39,0.0
36,2,20240115,0,0.0,91.19,0.0
37,2,20240116,1,0.49,15.36,0.0
38,2,20240119,1,0.46,12.18,0.0
39,2,20240121,1,0.53,18.72,0.0
40,2,20240127,1,0.53,15.62,4.56
41,2,20240128,1,0.38,6.13,0.0
42,2,20240202,1,0.33,62.230000000000004,0.0
43,2,20240204,1,0.37,40.49,2.35
44,2,20240205,1,0.6,46.96,0.0
45,2,20240206,1,0.43,23.1,0.0
46,2,20240207,1,0.39,7.02,0.0
47,2,20240213,0,0.0,1.33,0.0
48,2,20240220,1,0.4,8.34,0.0
49,2,20240222,1,0.55,11.79,0.0
50,2,20240223,0,0.0,3.55,0.0
51,2,20240227,1,0.51,0.72,0.0
52,2,20240302,1,0.3,10.49,0.0
53,2,20240305,0,0.0,11.56,0.0
54,2,20240307,1,0.49,25.34,0.0
55,2,20240308,1,0.54,3.31,0.0
56,2,20240310,1,0.51,62.45,3.94
57,2,20240314,1,0.59,101.31,0.0
58,2,20240317,1,0.46,28.48,0.0
59,2,20240331,1,0.54,8.02,0.0
60,3,20240102,1,0.48,32.3,0.0
61,3,20240108,1,0.58,104.42,4.95
62,3,20240109,1,0.4,46.89,0.0
63,3,20240110,1,0.34,6.71,1.89
64,3,20240121,2,0.66,28.220000000000002,4.82
65,3,20240126,1,0.33,10.87,2.51
