experiment_event_id,experiment_id,user_id,exposure_date_id,variant,conversion_flag
1,2,48,20240314,treatment,0
2,1,149,20240222,treatment,0
3,2,146,20240125,treatment,0
4,1,40,20240207,control,1
5,2,83,20240319,treatment,0
6,2,88,20240204,treatment,0
7,2,15,20240201,control,0
8,2,17,20240315,treatment,1
9,1,146,20240321,treatment,1
10,2,136,20240312,treatment,1
11,1,62,20240325,treatment,1
12,2,72,20240327,control,0
13,1,36,20240225,control,0
14,2,113,20240305,control,1
15,1,193,20240218,treatment,1
16,1,150,20240327,control,1
17,1,94,20240323,control,0
18,1,159,20240220,treatment,1
19,2,74,20240129,treatment,1
20,1,186,20240118,treatment,0
21,1,46,20240116,treatment,0
22,1,185,20240205,treatment,0
23,2,113,20240118,treatment,0
24,2,138,20240229,treatment,0
25,1,130,20240110,control,0
26,1,149,20240103,treatment,0
27,2,17,20240110,treatment,1
28,2,144,20240307,treatment,1
29,1,107,20240129,treatment,1
30,1,122,20240311,control,1
31,2,36,20240220,treatment,0
32,1,195,20240223,treatment,0
33,1,20,20240210,treatment,1
34,2,70,20240204,control,0
35,2,78,20240304,treatment,1
36,1,67,20240306,treatment,0
37,1,39,20240329,control,0
38,2,32,20240203,treatment,0
39,2,12,20240327,control,1
40,1,64,20240217,control,0
41,2,193,20240102,treatment,0
42,2,22,20240130,control,1
43,1,44,20240212,treatment,0
44,1,2,20240227,treatment,0
45,1,143,20240311,treatment,1
46,2,83,20240204,treatment,1
47,1,184,20240208,treatment,1
48,1,164,20240131,control,0
49,1,139,20240225,treatment,0
50,1,123,20240217,control,0
51,2,178,20240215,control,1
52,2,7,20240126,treatment,0
53,2,11,20240124,treatment,1
54,2,175,20240227,control,0
55,1,58,20240204,control,1
56,2,155,20240109,treatment,1
57,1,118,20240302,treatment,0
58,2,111,20240109,treatment,1
59,1,143,20240316,treatment,0
60,1,8,20240222,control,1
61,1,64,20240227,treatment,1
62,2,159,20240213,control,0
63,2,107,20240225,control,1
64,1,174,20240111,treatment,0
65,1,89,20240222,control,1
66,1,45,20240122,control,0
67,2,185,20240126,control,1
68,2,121,20240225,treatment,1
69,1,32,20240226,treatment,0
70,2,42,20240215,treatment,0
71,2,107,20240110,treatment,0
72,1,89,20240316,treatment,0
73,2,79,20240228,control,0
74,2,58,20240212,control,0
75,2,80,20240208,treatment,1
76,1,11,20240210,treatment,0
77,2,162,20240315,treatment,1
78,1,75,20240110,control,1
79,2,128,20240315,treatment,0
80,1,49,20240105,control,1
81,2,45,20240123,control,1
82,2,50,20240325,control,1
83,2,30,20240322,control,0
84,2,32,20240329,treatment,0
85,2,9,20240324,treatment,0
86,2,113,20240130,treatment,1
87,2,88,20240219,treatment,0
88,2,37,20240211,control,0
89,1,181,20240317,control,0
90,2,63,20240328,treatment,1
91,2,145,20240214,treatment,1
92,2,134,20240204,treatment,0
93,1,43,20240210,control,0
94,2,84,20240210,treatment,0
95,2,196,20240123,treatment,1
96,2,77,20240107,control,0
97,2,50,20240129,treatment,0
98,2,62,20240122,control,0
99,2,182,20240103,treatment,1
100,2,163,20240323,control,0
101,1,113,20240304,control,1
102,2,198,20240105,treatment,1
103,1,81,20240124,treatment,1
104,1,164,20240109,control,1
105,2,69,20240318,treatment,1
106,2,27,20240130,control,0
107,2,174,20240127,treatment,1
108,2,18,20240319,treatment,0
109,1,52,20240214,control,1
110,2,169,20240207,control,0
111,1,86,20240128,treatment,0
112,1,197,20240323,treatment,1
113,2,4,20240313,control,0
114,2,192,20240215,treatment,0
115,2,79,20240113,treatment,0
116,2,4,20240323,treatment,0
117,1,50,20240215,control,0
118,2,135,20240104,control,1
119,1,87,20240324,control,1
120,1,184,20240320,treatment,1
121,1,200,20240224,control,0
122,1,66,20240222,treatment,1
123,2,78,20240118,control,1
124,1,182,20240305,control,0
125,2,84,20240312,treatment,1
126,2,103,20240328,control,1
127,2,197,20240216,treatment,0
128,1,58,20240331,treatment,1
129,1,37,20240224,treatment,1
130,2,76,20240109,control,0
131,1,64,20240315,treatment,1
132,1,99,20240120,treatment,1
133,1,80,20240103,treatment,1
134,1,189,20240303,control,0
135,2,105,20240215,treatment,0
136,2,155,20240119,treatment,1
137,2,132,20240327,treatment,0
138,2,154,20240222,control,0
139,1,131,20240214,treatment,1
140,2,162,20240227,control,0
141,2,106,20240221,control,0
142,2,108,20240124,treatment,0
143,1,64,20240121,treatment,0
144,1,87,20240126,control,0
145,2,26,20240104,treatment,1
146,2,42,20240317,control,1
147,1,87,20240308,treatment,1
148,1,136,20240312,control,1
149,1,25,20240213,treatment,0
150,2,62,20240303,control,0
151,1,75,20240321,treatment,0
152,2,59,20240316,control,0
153,1,32,20240201,control,1
154,2,127,20240117,control,1
155,2,154,20240208,control,1
156,2,87,20240105,treatment,0
157,1,37,20240104,control,0
158,2,87,20240331,control,1
159,2,96,20240319,treatment,0
160,1,95,20240222,control,1
161,1,197,20240120,treatment,1
162,2,198,20240125,control,0
163,2,184,20240104,control,0
164,2,157,20240317,control,1
165,1,37,20240220,treatment,0
166,1,16,20240118,control,1
167,1,174,20240311,control,0
168,1,22,20240110,treatment,0
169,1,3,20240128,control,0
170,1,150,20240114,control,0
171,1,30,20240208,control,0
172,1,5,20240320,treatment,0
173,1,111,20240320,treatment,1
174,1,150,20240114,treatment,1
175,2,61,20240309,treatment,0
176,1,46,20240213,control,0
177,1,50,20240131,control,0
178,1,72,20240322,treatment,1
179,2,149,20240106,control,0
180,2,21,20240113,control,0
181,1,79,20240210,treatment,0
182,1,67,20240326,control,0
183,2,48,20240210,control,1
184,2,9,20240314,treatment,0
185,2,72,20240131,treatment,0
186,2,23,20240228,control,1
187,1,167,20240104,control,0
188,1,14,20240229,treatment,0
189,2,14,20240206,control,0
190,1,153,20240121,treatment,0
191,1,15,20240207,control,1
192,1,81,20240201,treatment,0
193,2,7,20240113,treatment,0
194,2,157,20240105,control,0
195,2,51,20240105,treatment,1
196,2,39,20240229,treatment,0
197,2,63,20240121,control,1
198,1,121,20240214,treatment,0
199,2,133,20240105,control,0
200,1,48,20240221,treatment,0
201,2,104,20240112,control,1
202,2,57,20240213,treatment,1
203,1,43,20240109,control,0
204,1,196,20240104,treatment,0
205,2,76,20240131,control,0
206,2,95,20240208,control,0
207,2,165,20240312,treatment,0
208,1,192,20240225,treatment,1
209,2,17,20240322,treatment,0
210,1,126,20240206,treatment,1
211,1,67,20240323,control,1
212,2,75,20240110,treatment,0
213,2,9,20240323,control,0
214,2,169,20240101,control,1
215,2,131,20240201,control,0
216,1,172,20240304,treatment,0
217,1,32,20240211,treatment,0
