trip_id,user_id,driver_id,product_id,city_id,request_date,request_date_id,pickup_date_id,dropoff_date_id,status,distance_km,surge_multiplier,fare,incentive_id,incentive_amount
1,84,7,3,7,2024-03-09,20240309,20240309,20240309,completed,5.17,1.07,16.6,,0.0
2,112,14,1,1,2024-02-18,20240218,20240218,20240218,completed,1.63,1.37,6.7,1.0,2.43
3,86,9,3,10,2024-01-26,20240126,20240126,20240126,cancelled_driver,28.53,2.15,184.02,,0.0
4,141,15,1,10,2024-01-05,20240105,20240105,20240105,completed,11.19,1.1,36.93,1.0,2.18
5,187,21,3,7,2024-01-22,20240122,20240122,20240122,completed,3.6,1.22,13.18,2.0,3.46
6,19,35,1,10,2024-03-19,20240319,20240319,20240319,completed,8.72,2.04,53.37,2.0,2.5
7,177,2,1,6,2024-01-13,20240113,20240113,20240113,cancelled_user,8.46,2.34,59.39,,0.0
8,100,27,3,6,2024-01-28,20240128,20240128,20240128,completed,13.65,1.95,79.85,,0.0
9,140,2,2,8,2024-02-02,20240202,20240202,20240202,cancelled_user,9.19,1.33,36.67,,0.0
10,189,35,3,8,2024-01-23,20240123,20240123,20240123,cancelled_user,5.16,1.08,16.72,,0.0
11,147,18,2,6,2024-01-18,20240118,20240118,20240118,cancelled_user,4.7,1.92,27.07,1.0,2.61
12,76,14,1,3,2024-01-30,20240130,20240130,20240130,cancelled_user,3.15,1.07,10.11,,0.0
13,9,20,3,5,2024-01-26,20240126,20240126,20240126,completed,4.92,1.92,28.34,,0.0
14,199,18,3,2,2024-01-16,20240116,20240116,20240116,completed,7.93,1.34,31.88,,0.0
15,28,10,3,5,2024-03-17,20240317,20240317,20240317,cancelled_driver,17.37,2.36,122.98,,0.0
16,128,25,2,9,2024-02-08,20240208,20240208,20240208,completed,3.15,1.71,16.16,,0.0
17,52,2,2,10,2024-02-02,20240202,20240202,20240202,completed,4.26,1.34,17.13,,0.0
18,83,25,1,1,2024-01-26,20240126,20240126,20240126,completed,2.94,2.28,20.11,1.0,4.39
19,111,33,2,10,2024-02-17,20240217,20240217,20240217,completed,5.52,1.38,22.85,,0.0
20,144,36,2,5,2024-03-05,20240305,20240305,20240305,cancelled_user,4.97,1.46,21.77,,0.0
21,117,31,1,6,2024-02-07,20240207,20240207,20240207,completed,0.09,2.25,0.61,2.0,1.26
22,69,14,3,7,2024-01-02,20240102,20240102,20240102,completed,3.9,1.46,17.08,,0.0
23,99,1,3,9,2024-01-06,20240106,20240106,20240106,cancelled_driver,0.46,1.62,2.24,2.0,2.4
24,140,46,1,6,2024-02-15,20240215,20240215,20240215,cancelled_user,0.13,1.52,0.59,,0.0
25,25,16,3,5,2024-02-19,20240219,20240219,20240219,completed,7.83,1.17,27.48,,0.0
26,180,46,2,7,2024-02-07,20240207,20240207,20240207,completed,1.5,1.06,4.77,,0.0
27,123,3,1,1,2024-03-28,20240328,20240328,20240328,completed,2.08,2.09,13.04,,0.0
28,53,35,1,5,2024-01-18,20240118,20240118,20240118,completed,0.33,1.97,1.95,2.0,4.51
29,151,41,1,2,2024-01-27,20240127,20240127,20240127,completed,0.99,1.42,4.22,2.0,1.64
30,144,6,3,4,2024-02-10,20240210,20240210,20240210,completed,7.25,1.44,31.32,,0.0
31,57,25,1,7,2024-03-12,20240312,20240312,20240312,completed,3.4,2.42,24.68,1.0,2.39
32,39,13,1,5,2024-03-14,20240314,20240314,20240314,completed,10.63,2.48,79.09,,0.0
33,109,34,1,6,2024-01-17,20240117,20240117,20240117,completed,2.53,1.71,12.98,1.0,2.34
34,181,8,3,2,2024-03-02,20240302,20240302,20240302,completed,1.56,2.2,10.3,1.0,2.34
35,42,21,2,3,2024-01-29,20240129,20240129,20240129,completed,2.14,2.11,13.55,,0.0
36,186,34,1,7,2024-02-27,20240227,20240227,20240227,completed,6.24,1.45,27.14,,0.0
37,167,4,2,2,2024-03-10,20240310,20240310,20240310,completed,4.05,1.09,13.24,1.0,3.15
38,142,25,3,6,2024-03-18,20240318,20240318,20240318,completed,11.73,1.21,42.58,2.0,2.12
39,122,15,3,5,2024-01-22,20240122,20240122,20240122,completed,4.61,2.26,31.26,1.0,2.16
40,133,4,3,10,2024-01-06,20240106,20240106,20240106,cancelled_driver,3.4,2.1,21.42,,0.0
41,163,45,3,1,2024-01-26,20240126,20240126,20240126,completed,7.7,2.0,46.2,1.0,1.12
42,75,12,2,10,2024-02-08,20240208,20240208,20240208,completed,14.74,1.2,53.06,,0.0
43,146,32,1,4,2024-01-12,20240112,20240112,20240112,completed,2.2,1.96,12.94,,0.0
44,76,32,3,2,2024-01-14,20240114,20240114,20240114,cancelled_user,1.44,2.16,9.33,,0.0
45,9,28,3,4,2024-01-22,20240122,20240122,20240122,completed,4.79,2.29,32.91,2.0,3.68
46,74,13,2,1,2024-02-20,20240220,20240220,20240220,completed,3.45,1.02,10.56,,0.0
47,186,31,2,2,2024-01-23,20240123,20240123,20240123,completed,22.63,2.03,137.82,,0.0
48,145,14,3,8,2024-02-17,20240217,20240217,20240217,completed,3.1,1.03,9.58,2.0,4.54
49,7,20,1,6,2024-03-11,20240311,20240311,20240311,cancelled_user,0.39,2.06,2.41,2.0,4.92
50,174,18,1,2,2024-02-19,20240219,20240219,20240219,completed,18.94,1.95,110.8,,0.0
51,141,29,3,6,2024-03-29,20240329,20240329,20240329,completed,9.28,1.22,33.96,2.0,3.19
52,168,6,2,10,2024-01-13,20240113,20240113,20240113,completed,0.98,2.15,6.32,,0.0
53,170,32,3,9,2024-03-25,20240325,20240325,20240325,completed,11.75,1.1,38.78,,0.0
54,137,29,3,7,2024-01-10,20240110,20240110,20240110,completed,2.08,2.24,13.98,,0.0
55,178,43,2,9,2024-02-24,20240224,20240224,20240224,completed,2.37,1.39,9.88,,0.0
56,27,2,3,5,2024-01-09,20240109,20240109,20240109,completed,11.84,2.03,72.11,,0.0
57,122,23,3,7,2024-03-19,20240319,20240319,20240319,completed,3.78,2.39,27.1,1.0,4.65
58,194,19,3,7,2024-02-21,20240221,20240221,20240221,completed,0.74,1.51,3.35,1.0,2.86
59,5,31,2,3,2024-01-02,20240102,20240102,20240102,cancelled_driver,2.3,1.75,12.08,,0.0
60,29,5,1,7,2024-01-25,20240125,20240125,20240125,completed,6.4,1.69,32.45,,0.0
61,165,19,1,1,2024-01-13,20240113,20240113,20240113,cancelled_user,0.96,1.24,3.57,,0.0
62,166,34,2,9,2024-02-20,20240220,20240220,20240220,completed,4.46,1.89,25.29,,0.0
63,83,10,1,10,2024-02-27,20240227,20240227,20240227,cancelled_driver,5.94,2.11,37.6,2.0,2.42
64,136,25,3,6,2024-02-03,20240203,20240203,20240203,completed,2.11,2.38,15.07,2.0,2.35
