user_daily_id,user_id,date_id,rides_requested,rides_completed,total_spend,incentives_used
1,1,20240108,1,1,1.29,0
2,1,20240109,1,1,6.06,0
3,1,20240110,1,1,17.55,1
4,1,20240111,1,1,32.77,0
5,1,20240117,1,0,19.67,0
6,1,20240119,1,1,6.82,1
7,1,20240127,1,0,10.92,1
8,1,20240209,1,0,29.17,1
9,1,20240214,1,1,1.07,0
10,1,20240219,1,0,15.79,1
11,1,20240226,1,1,7.21,0
12,1,20240306,1,1,28.94,0
13,1,20240316,1,1,43.7,0
14,1,20240317,1,1,42.47,0
15,1,20240318,1,1,0.67,0
16,1,20240330,1,1,11.47,1
17,2,20240128,1,1,14.97,0
18,2,20240130,1,1,6.81,1
19,2,20240301,1,1,4.93,0
20,2,20240307,1,0,5.49,0
21,2,20240309,1,0,33.76,1
22,2,20240317,1,1,4.22,0
23,2,20240330,2,2,113.16,0
24,3,20240102,1,1,33.57,0
25,3,20240106,1,1,8.86,1
26,3,20240114,1,1,1.05,1
27,3,20240124,1,1,37.06,0
28,3,20240205,1,1,68.8,0
29,3,20240223,1,1,2.68,0
30,3,20240228,1,1,15.11,0
31,3,20240305,1,1,1.96,0
32,3,20240310,1,0,7.35,0
33,3,20240326,1,1,19.59,1
34,3,20240327,1,1,39.42,0
35,3,20240328,1,1,18.37,0
36,4,20240112,1,1,30.69,0
37,4,20240118,1,1,72.42,0
38,4,20240121,1,1,0.96,1
39,4,20240205,1,1,0.11,1
40,4,20240212,1,1,10.97,1
41,4,20240222,1,1,22.6,1
42,4,20240303,1,1,26.95,0
43,4,20240316,1,0,10.72,0
44,5,20240102,1,0,12.08,0
45,5,20240116,1,1,111.08,1
46,5,20240118,1,1,0.29,0
47,5,20240120,1,0,45.91,1
48,5,20240123,1,1,1.2,0
49,5,20240124,1,1,29.41,0
50,5,20240126,2,2,45.099999999999994,1
51,5,20240201,1,1,0.32,0
52,5,20240207,1,1,23.38,1
53,5,20240210,1,1,12.98,0
54,5,20240226,2,2,71.61,0
55,5,20240311,2,1,21.61,0
56,6,20240105,1,1,6.15,1
57,6,20240114,1,1,8.37,0
58,6,20240115,1,1,85.32,0
59,6,20240119,1,0,10.86,0
60,6,20240201,1,1,13.97,0
61,6,20240204,1,1,5.66,1
62,6,20240212,1,1,10.55,1
63,6,20240321,1,1,21.04,1
64,6,20240326,1,1,7.32,1
65,6,20240331,1,1,49.74,0
66,7,20240116,1,1,23.28,0
67,7,20240117,1,1,35.8,1
68,7,20240202,1,1,16.74,0
69,7,20240203,1,1,25.78,1
70,7,20240204,1,1,0.58,1
71,7,20240212,1,1,6.38,1
72,7,20240223,1,1,39.49,0
73,7,20240303,1,1,2.88,0
74,7,20240308,1,1,18.42,1
75,7,20240311,2,1,12.52,2
76,8,20240103,1,1,28.77,1
77,8,20240108,1,0,54.9,1
78,8,20240114,1,1,82.51,0
79,8,20240123,2,2,36.85,1
80,8,20240128,1,1,63.06,1
81,8,20240130,1,1,36.51,1
82,8,20240216,1,1,59.94,0
83,8,20240224,1,0,7.74,0
84,8,20240306,1,0,71.74,1
85,8,20240313,1,1,19.82,0
86,8,20240316,1,1,38.79,0
87,8,20240317,1,1,56.38,0
88,8,20240319,1,0,18.57,0
89,8,20240323,1,0,8.78,0
90,8,20240328,1,1,21.73,0
91,9,20240101,1,1,5.11,0
92,9,20240111,1,1,120.06,0
93,9,20240122,1,1,32.91,1
94,9,20240124,1,1,37.1,0
95,9,20240126,2,2,56.47,1
96,9,20240204,1,1,24.66,0
97,9,20240314,1,1,1.95,0
98,9,20240316,1,0,5.89,1
99,9,20240329,1,0,0.25,1
100,10,20240105,1,1,20.2,0
101,10,20240108,1,1,1.58,0
102,10,20240118,1,1,0.26,0
103,10,20240126,1,1,2.52,0
104,10,20240220,1,1,8.06,0
105,10,20240304,1,1,48.93,1
106,10,20240316,1,0,66.56,0
107,10,20240320,1,1,39.9,1
108,10,20240328,1,1,46.5,0
109,11,20240101,1,0,14.35,0
110,11,20240103,1,1,61.06,0
111,11,20240121,1,0,25.45,0
112,11,20240126,1,0,9.28,0
113,11,20240208,1,1,12.71,1
114,11,20240213,1,0,37.71,0
115,11,20240222,1,1,27.11,1
116,11,20240224,1,1,17.51,0
117,11,20240307,1,1,33.89,0
118,11,20240308,1,1,26.42,0
119,11,20240309,1,1,20.13,1
120,11,20240315,1,0,24.16,0
121,11,20240319,1,1,85.57,0
122,12,20240101,1,1,5.78,1
123,12,20240109,1,1,21.11,1
124,12,20240112,1,1,62.14,0
125,12,20240131,1,1,1.36,1
126,12,20240206,1,1,8.38,0
127,12,20240216,1,1,18.5,1
128,12,20240217,1,1,36.14,1
129,12,20240222,1,1,5.64,0
130,12,20240302,1,1,9.8,0
131,12,20240305,1,1,20.59,1
132,12,20240310,1,1,39.75,0
133,12,20240314,1,0,3.61,0
134,12,20240317,1,1,12.44,0
135,12,20240318,1,1,21.49,1
136,12,20240326,2,1,20.509999999999998,0
137,12,20240327,1,1,23.51,0
138,13,20240112,1,0,11.69,1
139,13,20240121,1,0,13.28,0
140,13,20240202,1,1,43.56,0
141,13,20240203,1,1,57.19,1
142,13,20240216,1,1,1.11,0
143,13,20240313,1,1,46.14,0
144,13,20240314,1,1,2.17,0
145,13,20240324,1,1,16.86,1
146,14,20240109,1,1,11.89,0
147,14,20240119,1,1,27.94,0
148,14,20240121,1,1,23.33,1
149,14,20240122,1,1,11.8,1
150,14,20240128,1,1,25.99,0
151,14,20240223,1,1,9.2,1
152,14,20240228,1,1,10.9,1
153,14,20240303,1,1,6.7,0
154,14,20240307,1,1,7.31,1
155,14,20240311,1,1,13.59,1
156,14,20240323,2,2,36.01,0
157,14,20240324,1,1,19.94,1
158,15,20240102,1,1,84.14,0
159,15,20240121,1,1,28.03,1
160,15,20240126,1,0,52.32,0
